,iteration,total_bins,total_time,bin_1_utilization,bin_2_utilization,bin_3_utilization,bin_4_utilization,bin_5_utilization,bin_6_utilization,bin_7_utilization,bin_8_utilization,bin_9_utilization,bin_10_utilization,bin_11_utilization,bin_12_utilization,bin_13_utilization,bin_14_utilization,bin_15_utilization,bin_16_utilization,bin_17_utilization,bin_18_utilization,bin_19_utilization,bin_20_utilization,bin_21_utilization,bin_22_utilization,bin_23_utilization,bin_24_utilization,bin_25_utilization,bin_26_utilization,bin_27_utilization,bin_28_utilization,bin_29_utilization,bin_30_utilization,bin_31_utilization,bin_32_utilization,bin_33_utilization,bin_34_utilization,bin_35_utilization,bin_36_utilization,bin_37_utilization,bin_38_utilization,bin_39_utilization,bin_40_utilization,bin_41_utilization,bin_42_utilization,bin_43_utilization,bin_44_utilization,bin_45_utilization,bin_46_utilization,bin_47_utilization,bin_48_utilization,bin_49_utilization,bin_50_utilization
0,16.0,16.0,0.0019960403442382812,88.24499999999999,98.72999999999999,93.43,89.24,91.7,81.67,83.00999999999999,89.835,90.185,80.7,78.12,67.92,87.52,76.5,56.855,37.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14.0,14.0,0.0019927024841308594,94.155,87.97,87.325,91.88499999999999,79.51,96.045,92.065,85.99,96.38,75.765,63.949999999999996,92.05499999999999,70.97,47.575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,16.0,16.0,0.0019943714141845703,91.24,92.32000000000001,89.615,84.265,84.10499999999999,64.005,86.48,66.115,74.925,95.34,78.495,85.80499999999999,75.905,81.46,70.38499999999999,55.915000000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,16.0,16.0,0.0019948482513427734,87.57000000000001,90.83,85.44,86.705,75.02,82.645,71.28,90.03,83.85000000000001,74.63499999999999,74.74,69.5,83.42,90.16499999999999,62.205,59.730000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,14.0,14.0,0.0019936561584472656,93.25,89.64999999999999,85.55,84.135,83.375,87.41,84.905,60.33,59.44499999999999,76.92999999999999,75.84500000000001,83.795,62.970000000000006,45.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,13.0,13.0,0.0009970664978027344,94.36,95.43,93.39,89.42,87.69500000000001,84.585,89.0,91.03999999999999,71.85000000000001,94.55,79.255,69.435,30.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,19.0,19.0,0.002993345260620117,87.17,91.41,86.55000000000001,75.965,82.395,89.35,92.11500000000001,77.48,94.44500000000001,81.76,89.595,68.47999999999999,70.25,61.370000000000005,74.065,68.08,77.7,41.82,44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,15.0,15.0,0.0009965896606445312,92.5,90.35499999999999,78.685,78.59,76.045,96.695,77.79,80.085,80.265,86.21,79.00500000000001,80.62,72.43,73.86,14.580000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,17.0,17.0,0.0019936561584472656,88.49000000000001,89.145,82.22,74.88,91.05499999999999,76.785,89.445,79.435,69.755,77.92999999999999,66.58,29.12,82.67999999999999,63.834999999999994,45.6,72.11999999999999,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,16.0,16.0,0.001994609832763672,91.635,93.31,89.045,84.785,95.275,90.39,80.155,66.685,57.099999999999994,85.34,51.695,48.195,68.8,85.25,63.580000000000005,34.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,12.0,12.0,0.0019943714141845703,97.52499999999999,83.555,93.32000000000001,96.405,88.68,88.77000000000001,85.41,76.045,95.845,90.91,87.96000000000001,27.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,15.0,15.0,0.005982875823974609,96.37,89.58,92.69500000000001,86.4,92.44,85.52,87.555,85.64,83.17,79.025,79.125,77.625,90.315,73.05,24.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,17.0,17.0,0.0019936561584472656,98.895,95.28,93.845,88.735,77.85499999999999,72.09,74.78,70.765,72.78999999999999,92.55,87.345,80.19,77.14999999999999,81.2,64.725,55.684999999999995,58.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,16.0,16.0,0.0040247440338134766,94.455,90.01,86.845,74.08,82.45,88.345,83.705,84.42,83.875,84.125,79.43,96.345,97.495,72.2,75.44,46.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14.0,14.0,0.0029916763305664062,92.38499999999999,93.26,87.52,98.105,84.83000000000001,93.135,87.22999999999999,78.18,65.42,74.85000000000001,77.0,67.5,56.655,87.115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,11.0,11.0,0.0019931793212890625,93.35,80.785,86.485,92.0,85.04,77.37,78.845,84.82,82.86,83.28,63.690000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17.0,17.0,0.0019941329956054688,95.83500000000001,94.865,83.155,87.39,81.245,84.05,71.85000000000001,75.53999999999999,75.06,64.125,76.16000000000001,57.35,55.055,59.52499999999999,93.16,40.04,44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,16.0,16.0,0.0049855709075927734,91.16,86.38,77.94,90.82000000000001,82.69,64.60000000000001,78.16499999999999,62.59999999999999,76.065,76.14,81.00500000000001,90.155,74.7,96.765,57.199999999999996,73.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,11.0,11.0,0.0010302066802978516,94.11,90.49000000000001,82.17,88.36,84.10499999999999,80.92,90.805,92.135,74.32,83.64,55.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,16.0,16.0,0.002991914749145508,91.27499999999999,92.12,84.585,89.325,87.01,89.66,85.74000000000001,87.1,78.145,83.41,69.27999999999999,76.45,54.405,33.39,47.745,30.869999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
