,iteration,total_bins,total_time,bin_1_utilization,bin_2_utilization,bin_3_utilization,bin_4_utilization,bin_5_utilization,bin_6_utilization,bin_7_utilization,bin_8_utilization,bin_9_utilization,bin_10_utilization,bin_11_utilization,bin_12_utilization,bin_13_utilization,bin_14_utilization,bin_15_utilization,bin_16_utilization,bin_17_utilization,bin_18_utilization,bin_19_utilization,bin_20_utilization,bin_21_utilization,bin_22_utilization,bin_23_utilization,bin_24_utilization,bin_25_utilization,bin_26_utilization,bin_27_utilization,bin_28_utilization,bin_29_utilization,bin_30_utilization,bin_31_utilization,bin_32_utilization,bin_33_utilization,bin_34_utilization,bin_35_utilization,bin_36_utilization,bin_37_utilization,bin_38_utilization,bin_39_utilization,bin_40_utilization,bin_41_utilization,bin_42_utilization,bin_43_utilization,bin_44_utilization,bin_45_utilization,bin_46_utilization,bin_47_utilization,bin_48_utilization,bin_49_utilization,bin_50_utilization
0,1.0,16.0,0.01299428939819336,88.24499999999999,98.72999999999999,92.32000000000001,89.24,91.7,81.67,83.985,89.835,85.125,77.575,90.67,73.17,85.33500000000001,78.55,74.925,10.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2.0,14.0,0.019940853118896484,92.94,80.07,91.365,96.96000000000001,79.51,96.045,90.47,92.815,96.38,75.765,58.720000000000006,80.355,78.365,51.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3.0,16.0,0.02193927764892578,91.24,92.11,89.19500000000001,84.895,84.10499999999999,60.73499999999999,63.115,74.19,74.925,95.34,76.97500000000001,81.78,82.93,75.25,78.78500000000001,70.80499999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4.0,16.0,0.02592635154724121,87.57000000000001,90.83,85.44,86.705,71.77,82.645,71.28,90.03,84.14,74.63499999999999,77.99000000000001,77.69,83.12,81.985,62.205,59.730000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5.0,14.0,0.059836387634277344,93.25,83.44500000000001,88.32,80.825,84.345,76.17,73.89,73.69,61.85000000000001,69.38,71.17,75.845,75.955,64.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6.0,13.0,0.022961139678955078,94.36,94.85,92.7,89.42,87.69500000000001,83.685,89.52,84.02,70.42,91.57,80.83,76.4,34.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7.0,19.0,0.044876813888549805,86.845,89.69500000000001,84.35000000000001,69.85,62.72,85.9,86.66,85.725,94.44500000000001,80.50500000000001,81.76,89.595,66.4,59.61,48.05,47.53,77.7,73.06,84.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,8.0,14.0,0.019980430603027344,87.14,95.71499999999999,78.685,78.59,76.045,96.695,73.49,84.385,85.52499999999999,83.53,79.00500000000001,84.94500000000001,77.865,76.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9.0,17.0,0.018950939178466797,90.85,92.595,81.72,68.525,78.85,76.785,83.44500000000001,86.98,87.03999999999999,59.97,56.18,42.895,79.475,75.595,46.050000000000004,72.11999999999999,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,10.0,16.0,0.014957904815673828,91.635,93.31,88.505,82.935,92.05,92.38,73.8,64.3,57.099999999999994,89.18,53.595000000000006,51.42,56.39999999999999,85.79,78.84,34.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11.0,12.0,0.015984058380126953,97.52499999999999,83.06,93.32000000000001,95.80499999999999,89.17500000000001,86.4,87.78,91.815,93.785,89.235,73.275,30.875000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,12.0,15.0,0.042877912521362305,96.17,89.535,92.69500000000001,86.4,92.44,83.12,85.75500000000001,85.64,79.57,77.095,82.27499999999999,79.425,90.315,81.15,21.279999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13.0,17.0,0.021939516067504883,98.895,95.28,93.845,88.735,77.85499999999999,72.09,66.705,70.765,66.465,92.55,83.675,69.3,83.475,85.85000000000001,70.965,67.43,58.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14.0,16.0,0.024929285049438477,94.455,90.01,83.39999999999999,73.565,86.995,89.345,83.705,84.42,83.875,76.285,83.39,86.17,91.535,82.375,89.24,40.839999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15.0,14.0,0.015954017639160156,91.99000000000001,93.15,87.52,98.105,87.155,93.58999999999999,90.27,68.785,74.815,81.41000000000001,82.6,73.205,58.655,61.934999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,16.0,11.0,0.017950057983398438,93.35,80.38499999999999,80.895,89.535,86.97,87.21,85.87,85.61999999999999,84.265,81.0,53.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,17.0,17.0,0.014956474304199219,95.83500000000001,94.865,83.155,87.39,78.235,84.095,72.52,75.53999999999999,75.06,66.64999999999999,75.92999999999999,57.35,70.83,43.75,93.16,40.04,44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,18.0,17.0,0.021938800811767578,91.16,84.76,77.79,90.97,80.375,64.60000000000001,62.6,78.16499999999999,76.065,76.395,79.975,86.775,74.09,96.765,59.64,61.88,18.360000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,19.0,11.0,0.028920650482177734,93.88,83.81,85.45,88.33,84.015,83.0,93.73,92.135,78.18,86.99,47.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20.0,16.0,0.020946502685546875,91.27499999999999,92.12,83.71,89.99000000000001,84.67,89.66,85.19,75.97,65.35,68.74,84.695,90.49000000000001,40.5,48.15,47.745,42.254999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
