filename,iteration,total_bins,total_area_left
12_generated_code.py,2,16,67109
14_generated_code.py,2,16,67109
15_generated_code.py,2,16,67109
19_generated_code.py,2,16,67109
4_generated_code.py,2,16,67109
5_generated_code.py,2,16,67109
12_generated_code.py,1,17,71723
14_generated_code.py,1,17,71723
15_generated_code.py,1,17,71723
19_generated_code.py,1,17,71723
4_generated_code.py,1,17,71723
5_generated_code.py,1,17,71723
7_generated_code.py,1,17,71723
7_generated_code.py,2,17,87109
13_generated_code.py,1,18,91723
13_generated_code.py,2,18,107109
7_generated_code.py,0,19,72658
12_generated_code.py,0,20,92658
13_generated_code.py,0,20,92658
14_generated_code.py,0,20,92658
15_generated_code.py,0,20,92658
19_generated_code.py,0,20,92658
4_generated_code.py,0,20,92658
5_generated_code.py,0,20,92658
1_generated_code.py,1,21,151723
3_generated_code.py,1,21,151723
1_generated_code.py,2,21,167109
3_generated_code.py,2,22,187109
9_generated_code.py,2,23,207109
9_generated_code.py,1,24,211723
1_generated_code.py,0,26,212658
3_generated_code.py,0,26,212658
10_generated_code.py,2,27,287109
16_generated_code.py,2,27,287109
20_generated_code.py,2,27,287109
9_generated_code.py,0,28,252658
10_generated_code.py,1,28,291723
16_generated_code.py,1,28,291723
20_generated_code.py,1,28,291723
10_generated_code.py,0,30,292658
16_generated_code.py,0,30,292658
20_generated_code.py,0,30,292658
6_generated_code.py,2,31,367109
6_generated_code.py,1,34,411723
17_generated_code.py,2,35,447109
6_generated_code.py,0,38,452658
17_generated_code.py,1,40,531723
17_generated_code.py,0,43,552658
